experiment,accuracy,precision_ai,recall_ai,f1_ai
naive_tfidf_only_LR,1.0,1.0,1.0,1.0
naive_structural_only_LR,0.842,0.8129496402877698,0.6807228915662651,0.740983606557377
naive_combined_LR,1.0,1.0,1.0,1.0
naive_tfidf_only_NB,1.0,1.0,1.0,1.0
naive_combined_SVM,1.0,1.0,1.0,1.0
grouped_tfidf_only_LR,0.5912280701754385,0.0,0.0,0.0
grouped_structural_only_LR,0.6403508771929824,0.5654205607476636,0.51931330472103,0.5413870246085011
grouped_combined_LR,0.8350877192982457,0.9664429530201343,0.6180257510729614,0.7539267015706806
grouped_tfidf_only_NB,0.5912280701754385,0.0,0.0,0.0
grouped_combined_SVM,0.8596491228070176,0.9693251533742331,0.6781115879828327,0.797979797979798
